restaurant_name,owner_email,owner_password
"Da Grasso",da_grasso@dishly.com,da_grasso
"Da Luciano",da_luciano@dishly.com,da_luciano
"Domowo",domowo@dishly.com,domowo
"Due Monti",due_monti@dishly.com,due_monti
"Efes",efes_2@dishly.com,efes_2
"Efes",efes@dishly.com,efes
"Hard Rock Cafe",hard_rock_cafe@dishly.com,hard_rock_cafe
"Hikari Koi Sushi",hikari_koi_sushi@dishly.com,hikari_koi_sushi
"Horapa",horapa@dishly.com,horapa
"KURA",kura@dishly.com,kura
"Kalyan",kalyan@dishly.com,kalyan
"Kebab King",kebab_king@dishly.com,kebab_king
"Kuchnia za ścianą",kuchnia_za_sciana@dishly.com,kuchnia_za_sciana
"Kura",kura_2@dishly.com,kura_2
"Latający Naleśnik",latajacy_nalesnik@dishly.com,latajacy_nalesnik
"Limonka",limonka@dishly.com,limonka
"Magu Sushi",magu_sushi@dishly.com,magu_sushi
"Mia Famiglia",mia_famiglia@dishly.com,mia_famiglia
"Nashe Sushi",nashe_sushi@dishly.com,nashe_sushi
"Nobu",nobu@dishly.com,nobu
"Orient Cook",orient_cook@dishly.com,orient_cook
"Parivar",parivar@dishly.com,parivar
"Parnik Oryginalne Chińskie Pierogi",parnik_oryginalne_chinskie_pierogi@dishly.com,parnik_oryginalne_chinskie_pierogi
"Pianka",pianka@dishly.com,pianka
"Pizza Dominium",pizza_dominium@dishly.com,pizza_dominium
"Pizza Hut",pizza_hut@dishly.com,pizza_hut
"Pizza Jalapenio",pizza_jalapenio@dishly.com,pizza_jalapenio
"Pizza z Radości",pizza_z_radosci@dishly.com,pizza_z_radosci
"Pizza z piecca",pizza_z_piecca@dishly.com,pizza_z_piecca
"Pizzeria 105",pizzeria_105@dishly.com,pizzeria_105
"Pizzeria 105",pizzeria_105_5@dishly.com,pizzeria_105_5
"Pizzeria 105",pizzeria_105_4@dishly.com,pizzeria_105_4
"Pizzeria 105",pizzeria_105_3@dishly.com,pizzeria_105_3
"Pizzeria 105",pizzeria_105_2@dishly.com,pizzeria_105_2
"Pizzeria na Barskiej",pizzeria_na_barskiej@dishly.com,pizzeria_na_barskiej
"Prima Pizza",prima_pizza@dishly.com,prima_pizza
"Pycha Micha",pycha_micha@dishly.com,pycha_micha
"Pół Na Puł",po_na_pu@dishly.com,po_na_pu
"Qchnie Orientu",qchnie_orientu@dishly.com,qchnie_orientu
"Restauracja Letnisko",restauracja_letnisko@dishly.com,restauracja_letnisko
"Sakaba",sakaba@dishly.com,sakaba
"San Giovanni",san_giovanni@dishly.com,san_giovanni
"Saya Sushi",saya_sushi@dishly.com,saya_sushi
"Semola - Pizzeria, Restauracja",semola_pizzeria_restauracja@dishly.com,semola_pizzeria_restauracja
"Sensei Sushi",sensei_sushi@dishly.com,sensei_sushi
"Sensi Sushi",sensi_sushi@dishly.com,sensi_sushi
"Spello Ristorante",spello_ristorante@dishly.com,spello_ristorante
"Sushi Poke Go",sushi_poke_go@dishly.com,sushi_poke_go
"Tasty",tasty@dishly.com,tasty
"Telepizza",telepizza@dishly.com,telepizza
"The Pizza",the_pizza@dishly.com,the_pizza
"Toro Sushi",toro_sushi@dishly.com,toro_sushi
"Trattoria da Antonio",trattoria_da_antonio@dishly.com,trattoria_da_antonio
"U Jakuba",u_jakuba@dishly.com,u_jakuba
"Umai",umai@dishly.com,umai
"United India",united_india@dishly.com,united_india
"Van Binh",van_binh@dishly.com,van_binh
"Vapiano",vapiano@dishly.com,vapiano
"Viet-Thai",viet_thai@dishly.com,viet_thai
"Waffle Bar",waffle_bar@dishly.com,waffle_bar
